Successful opening input_fpa
Successful opening new_fake10kdba
Malloc done
Memcpy FP done
Memcpy done
Malloc again done
ID 2109-421	: 0.59233
ID 3454-690	: 0.592137
ID 2486-497	: 0.591718
ID 2350-470	: 0.591623
ID 7278-1455	: 0.591467
ID 6100-1220	: 0.591153
ID 5507-1101	: 0.5911
ID 3397-679	: 0.590915
ID 6709-1341	: 0.590732
ID 9437-1887	: 0.590718
ID 9992-1998	: 0.590426
ID 7343-1468	: 0.590286
ID 9857-1971	: 0.590024
ID 6060-1212	: 0.589821
ID 5227-1045	: 0.589775
ID 7504-1500	: 0.589558
ID 5206-1041	: 0.589327
ID 2285-457	: 0.589233
ID 6051-1210	: 0.589127
ID 9727-1945	: 0.589019
ID 457-91	: 0.588991
ID 1993-398	: 0.58886
ID 3657-731	: 0.588718
ID 183-36	: 0.588701
ID 9018-1803	: 0.588513
ID 4059-811	: 0.588104
ID 8588-1717	: 0.588077
ID 2291-458	: 0.587938
ID 7661-1532	: 0.587546
ID 2596-519	: 0.587519
ID 3647-729	: 0.587361
ID 9030-1806	: 0.587238
ID 1011-202	: 0.587176
ID 1180-236	: 0.58708
ID 4186-837	: 0.586879
ID 1113-222	: 0.586664
ID 4689-937	: 0.586655
ID 2753-550	: 0.586483
ID 6235-1247	: 0.586425
ID 393-78	: 0.585857
ID 6679-1335	: 0.58572
ID 8377-1675	: 0.585548
ID 4995-999	: 0.585474
ID 6918-1383	: 0.585081
ID 9300-1860	: 0.58498
ID 1655-331	: 0.584772
ID 3206-641	: 0.584633
ID 2279-455	: 0.584418
ID 7298-1459	: 0.58431
ID 4345-869	: 0.584304
ID 4490-898	: 0.584132
ID 9501-1900	: 0.584016
ID 8112-1622	: 0.583997
ID 1359-271	: 0.583911
ID 517-103	: 0.583876
ID 6986-1397	: 0.58372
ID 1384-276	: 0.583625
ID 4130-826	: 0.583601
ID 6069-1213	: 0.583478
ID 3360-672	: 0.583345
ID 1822-364	: 0.583121
ID 7225-1445	: 0.583092
ID 1484-296	: 0.582984
ID 7582-1516	: 0.582909
ID 683-136	: 0.582881
ID 613-122	: 0.582791
ID 831-166	: 0.582685
ID 7204-1440	: 0.582659
ID 6269-1253	: 0.582625
ID 3105-621	: 0.582561
ID 3505-701	: 0.582425
ID 6321-1264	: 0.582388
ID 7052-1410	: 0.582284
ID 9213-1842	: 0.581818
ID 6969-1393	: 0.581603
ID 5140-1028	: 0.581598
ID 8894-1778	: 0.581422
ID 1606-321	: 0.581115
ID 9587-1917	: 0.581011
ID 7832-1566	: 0.580926
ID 4462-892	: 0.580548
ID 5079-1015	: 0.580377
ID 2996-599	: 0.580268
ID 6961-1392	: 0.580243
ID 9831-1966	: 0.579568
ID 2981-596	: 0.579568
ID 4631-926	: 0.57954
ID 4606-921	: 0.579437
ID 1567-313	: 0.579153
ID 624-124	: 0.57896
ID 8988-1797	: 0.578872
ID 3672-734	: 0.578653
ID 4929-985	: 0.578638
ID 791-158	: 0.578398
ID 4760-952	: 0.578395
ID 7258-1451	: 0.578179
ID 382-76	: 0.578076
ID 8065-1613	: 0.577984
ID 9794-1958	: 0.577835
ID 1491-298	: 0.577712
ID 8822-1764	: 0.577692
ID 3044-608	: 0.577525
ID 9044-1808	: 0.577379
ID 8480-1696	: 0.577365
ID 6755-1351	: 0.577281
ID 5843-1168	: 0.577092
ID 8642-1728	: 0.57658
ID 1215-243	: 0.57653
ID 4478-895	: 0.576302
ID 1730-346	: 0.576254
ID 2921-584	: 0.576222
ID 5909-1181	: 0.576191
ID 4310-862	: 0.576164
ID 8095-1619	: 0.575912
ID 7189-1437	: 0.575578
ID 3223-644	: 0.575413
ID 297-59	: 0.574942
ID 1298-259	: 0.574837
ID 4843-968	: 0.574299
